Title,Details,Overview,Priority,Type,Status,Assignees,Tags,Estimation
Panel (Dashboard),"Panel resumen con KPIs y madurez por función acotado a lo que cada rol puede ver. Agrupa 2 historias de usuario, todas implementadas.",Panel resumen con KPIs y madurez por función acotado a lo que cada rol puede ver.,P3,Epic,Completed,,Dashboard,
Experiencia general (UX transversal),"Experiencia transversal: notificaciones, tooltips, aislamiento multi-tenant transparente, tema claro/oscuro. Agrupa 4 historias de usuario, todas implementadas.","Experiencia transversal: notificaciones, tooltips, aislamiento multi-tenant transparente, tema claro/oscuro.",P3,Epic,Completed,,UX,
Configuración de la plataforma,"Configuración de la plataforma (SMTP de Keycloak, administración del catálogo). Agrupa 2 historias de usuario, todas implementadas.","Configuración de la plataforma (SMTP de Keycloak, administración del catálogo).",P3,Epic,Completed,,Configuración,
Observabilidad y trazabilidad,"Bitácora de acciones sensibles, intentos de login fallidos, logs y métricas centralizadas. Agrupa 5 historias de usuario, todas implementadas.","Bitácora de acciones sensibles, intentos de login fallidos, logs y métricas centralizadas.",P3,Epic,Completed,,Observabilidad,
Infraestructura y despliegue,"Levantar y desplegar el stack (Docker Compose, Kubernetes, CI/CD). Agrupa 3 historias de usuario, todas implementadas.","Levantar y desplegar el stack (Docker Compose, Kubernetes, CI/CD).",P3,Epic,Completed,,Infraestructura,
HU-AUTH-01 — Iniciar sesión con SSO,"El login real es 100% delegado a Keycloak (Authorization Code flow); PRISMA nunca ve ni guarda la contraseña en texto plano. · Un JWT inválido o vencido redirige de nuevo al login. Implementado en: apps/frontend/src/services/auth.ts, SecurityConfig.java","Como usuario de cualquier rol, quiero iniciar sesión con mis credenciales corporativas contra Keycloak, para acceder a PRISMA sin que la aplicación maneje contraseñas por su cuenta.",P1,Story,Completed,,Autenticación,
HU-AUTH-02 — Cerrar sesión,"Implementado en: AppHeader.vue (menú de usuario → ""Cerrar Sesión"")","Como usuario, quiero cerrar sesión, para proteger mi cuenta en un equipo compartido.",P1,Story,Completed,,Autenticación,
HU-AUTH-03 — Cambiar mi propia contraseña,"Rechaza el cambio si la contraseña actual no es correcta (validada contra Keycloak). · La nueva contraseña exige mínimo 8 caracteres. · Queda operativa de inmediato (no fuerza otro cambio en el próximo login). Implementado en: PUT /api/account/password, AccountService.changePassword, AccountView.vue","Como usuario de cualquier rol, quiero cambiar mi contraseña indicando la actual, para mantenerla segura sin depender de que un administrador me la resetee.",P1,Story,Completed,,Autenticación,
HU-AUTH-04 — Corregir mi propio nombre,"El cambio se sincroniza en prisma.users y en el perfil de Keycloak. · Se refleja en la pantalla al instante (no depende de que el JWT se renueve). · No incluye el email (cambiarlo tocaría la identidad de login en Keycloak; queda fuera de alcance). Implementado en: PUT /api/account/profile, AccountService.updateProfile, AccountView.vue → ""Corregir nombre""","Como usuario de cualquier rol, quiero corregir mi nombre y apellido si quedaron mal cargados al darme de alta, sin tener que pedirle a un administrador que edite mi ficha.",P1,Story,Completed,,Autenticación,
HU-AUTH-05 — Restablecer la contraseña de otro usuario,"La contraseña fijada queda operativa de inmediato — no se le pide al usuario que la cambie de nuevo en su próximo login (a diferencia del alta inicial, donde sí tiene sentido forzarlo). Implementado en: PUT /api/users/{id}, UserService.update (usa KeycloakAdminClient.setPermanentPassword, no resetPassword). Ver ""Endurecimientos recientes"" en SECURITY.md","Como PRISMA_ADMIN u ORG_RESPONSIBLE (de su propia organización), quiero fijarle una contraseña nueva a otro usuario, para que un usuario bloqueado recupere el acceso sin pasar por el flujo de autoservicio.",P2,Story,Completed,,Autenticación,
HU-ORG-01 — Alta de organización,"El RUT es opcional: no toda organización lo tiene cargado al momento del alta. Un RUT en blanco se normaliza a NULL (no """") en el backend, para que la constraint UNIQUE no choque entre dos organizaciones sin RUT cargado. Implementado en: POST /api/organizations, OrganizationsView.vue","Como PRISMA_ADMIN, quiero dar de alta una organización (nombre, RUT, sector, tamaño), para empezar a evaluarla.",P2,Story,Completed,,Organizaciones,
HU-ORG-02 — Guiar la designación del responsable al crear una organización,"Al guardar la organización, un modal ofrece ""Asignar responsable ahora"" (lleva directo al alta de usuario con la organización y el rol ORG_RESPONSIBLE preseleccionados) o ""Hacerlo más tarde"". · Es una regla de UI/orden, no una restricción del modelo de datos. Implementado en: OrganizationsView.vue, UsersView.vue (flujo guiado vía ?newOrgId=)","Como PRISMA_ADMIN, al crear una organización nueva quiero que se me guíe a designar primero su ORG_RESPONSIBLE, para que no quede una organización sin nadie a cargo antes de sumarle evaluadores, auditores o visualizadores.",P3,Story,Completed,,Organizaciones,
HU-ORG-03 — Listar y ver el detalle de organizaciones,"Implementado en: GET /api/organizations, OrganizationsView.vue, OrganizationDetailView.vue (incluye EvaluationMaturityTrendChart)","Como PRISMA_ADMIN (todas) u ORG_RESPONSIBLE/AUDITOR (las propias/asignadas), quiero ver el listado y el detalle de organizaciones, incluida la evolución de su madurez en el tiempo.",P2,Story,Completed,,Organizaciones,
HU-ORG-04 — Editar una organización,Implementado en: PUT /api/organizations/{id},"Como PRISMA_ADMIN, quiero editar los datos de una organización existente.",P3,Story,Completed,,Organizaciones,
HU-ORG-05 — Dar de baja una organización sin perder su historial,"Es una baja lógica (enabled=false): no borra la fila, porque violaría las FK de users.tenant_id/evaluations.organization_id. Implementado en: DELETE /api/organizations/{id}, OrganizationService.delete","Como PRISMA_ADMIN, quiero dar de baja una organización, conservando todo su historial de evaluaciones, evidencia y auditoría.",P2,Story,Completed,,Organizaciones,
HU-USR-01 — Alta de usuario con rol y organización,"Provisiona automáticamente la cuenta en Keycloak; sin contraseña, el alta se rechaza (nunca queda un usuario ""a medias"", visible en la app pero sin poder loguearse). Implementado en: POST /api/users, UserService.create","Como PRISMA_ADMIN, quiero dar de alta un usuario con nombre, email, contraseña, rol(es) y organización, para que quede provisionado y pueda loguearse de inmediato.",P2,Story,Completed,,Usuarios,
HU-USR-02 — Un ORG_RESPONSIBLE administra los usuarios de su propia organización,"El tenantId que mande en el pedido se ignora: siempre se fuerza el propio (no puede crear ni mover usuarios a otra organización). · Nunca puede otorgarle a nadie — ni a sí mismo — el rol global PRISMA_ADMIN. · Si asigna AUDITOR, las organizaciones a auditar deben ser exclusivamente la suya. · La UI oculta el rol ""Administrador"" y bloquea el selector de organización a la propia para no invitar a un intento que el backend igual rechaza. Implementado en: UserService.create/update/delete (acotamiento vía CurrentUserService.assertOrganizationAccess), UsersView.vue","Como ORG_RESPONSIBLE, quiero dar de alta, editar y borrar los usuarios de mi propia organización (evaluadores, auditores, visualizadores), sin depender de que un PRISMA_ADMIN lo haga por mí.",P2,Story,Completed,,Usuarios,
HU-USR-03 — Ver a qué organización pertenece cada usuario,"Un usuario sin tenant (p.ej. PRISMA_ADMIN) se muestra como ""Global (sin organización)"". Implementado en: columna ""Organización"" en UsersView.vue, UserDto.organizationName","Como PRISMA_ADMIN (u ORG_RESPONSIBLE viendo los suyos), quiero ver en la tabla de usuarios a qué organización pertenece cada uno, sin tener que abrir cada ficha.",P2,Story,Completed,,Usuarios,
HU-USR-04 — Protección contra auto-eliminación y contra borrar al administrador global,Ambas protecciones son independientes entre sí y se verifican explícitamente en UserService.delete. Implementado en: UserService.delete. Incidente real documentado en RUNBOOK.md,"Como sistema, no debo permitir que un usuario se borre a sí mismo, ni que se borre al administrador global sembrado (admin@prisma.local), para que la plataforma nunca quede sin nadie que pueda administrarla.",P1,Story,Completed,,Usuarios,
HU-USR-05 — Un auditor necesita al menos una organización asignada,Implementado en: UserService.validateAuditorHasOrganizations,"Como sistema, no debo permitir que se cree o edite un usuario con rol AUDITOR sin al menos una organización para auditar, porque quedaría ""auditando nada"" en toda la plataforma.",P2,Story,Completed,,Usuarios,
HU-USR-06 — Deshabilitar un usuario sin borrarlo,"Checkbox ""Usuario habilitado"" en el formulario de edición, más un ícono de acción rápida en la grilla (sin abrir el modal completo) para alternar el estado con un click. · Deshabilitar sincroniza el estado con Keycloak (enabled=false ahí también) — un usuario deshabilitado no puede autenticarse, no sólo ""se ve inactivo"" en la app. · Mismas dos protecciones que HU-USR-04: no podés deshabilitar tu propia cuenta ni la del administrador global sembrado. Implementado en: PUT /api/users/{id} (enabled), UserService.update, UsersView.vue","Como PRISMA_ADMIN/ORG_RESPONSIBLE, quiero poder deshabilitar (y volver a habilitar) un usuario sin eliminarlo, para bloquearle el acceso de forma reversible (ej. licencia, cuenta sospechosa) conservando su historial (evaluaciones, evidencia, auditoría) intacto — a diferencia de eliminarlo, que borra la cuenta por completo.",P2,Story,Completed,,Usuarios,
HU-CAT-01 — Explorar el catálogo,"La vista muestra una pestaña por cada catálogo dado de alta (GET /api/catalog/versions) en vez de un selector desplegable escondido — con un solo catálogo cargado (el caso más común) se ve una única pestaña, pero la existencia de más de uno queda visible sin tener que abrir nada. Implementado en: GET /api/catalog/{version}, CatalogView.vue","Como cualquier usuario autenticado, quiero recorrer el árbol completo del catálogo (Función → Categoría → Subcategoría → Requisito → Control) con su nivel objetivo, para entender qué se evalúa antes de responder o auditar.",P1,Story,Completed,,Catálogo,
HU-CAT-02 — Importar una versión nueva del catálogo,"Implementado en: POST /api/catalog/import, CatalogImportPanel.vue","Como PRISMA_ADMIN, quiero importar una versión nueva del catálogo completa (JSON), para incorporar actualizaciones del marco MCU sin tocar código ni migraciones.",P1,Story,Completed,,Catálogo,
HU-CAT-03 — Editar el árbol antes de confirmarlo,Implementado en: CatalogTreeEditor.vue,"Como PRISMA_ADMIN, quiero poder editar (agregar/quitar función, categoría, subcategoría, requisito o control) el árbol que estoy por importar, para corregir errores antes de que quede persistido.",P3,Story,Completed,,Catálogo,
HU-CAT-04 — Eliminar una versión de catálogo,Implementado en: DELETE /api/catalog/{version},"Como PRISMA_ADMIN, quiero eliminar una versión de catálogo que ya no se usa.",P4,Story,Completed,,Catálogo,
HU-PERF-01 — Crear un perfil comunitario,"Implementado en: POST /api/community-profiles, CommunityProfilesView.vue","Como PRISMA_ADMIN, quiero crear un perfil comunitario (subconjunto curado de controles, p.ej. ""Básico"" o ""PYME""), para que una evaluación pueda acotarse a lo relevante de un sector en vez del catálogo completo.",P2,Story,Completed,,Perfiles,
HU-PERF-02 — Elegir un perfil comunitario al crear una evaluación,"Implementado en: NewEvaluationView.vue, CreateEvaluationDto.communityProfileId","Como ORG_RESPONSIBLE, quiero elegir (opcionalmente) un perfil comunitario al crear una evaluación, para no tener que responder controles que no aplican a mi sector.",P2,Story,Completed,,Perfiles,
HU-EVAL-01 — Crear una evaluación,Nace en estado DRAFT. Implementado en: POST /api/evaluations,"Como ORG_RESPONSIBLE, quiero crear una evaluación nueva para mi organización, eligiendo versión de catálogo y, opcionalmente, un perfil comunitario.",P1,Story,Completed,,Evaluaciones,
HU-EVAL-02 — Responder la autoevaluación control por control,"Sólo se puede seguir respondiendo mientras la evaluación esté en DRAFT/IN_PROGRESS/ RETURNED (Evaluation.isSelfAssessmentEditable()). Implementado en: POST /api/evaluations/{id}/responses, EvaluationRespondView.vue","Como ORG_RESPONSIBLE/INTERNAL_EVALUATOR, quiero marcar cada control como cumple/no cumple y agregar observaciones, para ir completando la autoevaluación a mi ritmo.",P1,Story,Completed,,Evaluaciones,
HU-EVAL-03 — Marcar preguntas para revisar después,Implementado en: EvaluationRespondView.vue (toggleFlag),"Como ORG_RESPONSIBLE/INTERNAL_EVALUATOR, quiero marcar (bookmark) una pregunta para volver a ella más tarde, sin perder el resto del avance.",P3,Story,Completed,,Evaluaciones,
HU-EVAL-04 — Calcular la madurez,"Cálculo acumulativo por nivel (no puede alcanzar el nivel N sin cumplir todos los controles de los niveles anteriores dentro de la subcategoría). · Idempotente: recalcular pisa el resultado anterior. Implementado en: POST /api/evaluations/{id}/calculate, EvaluationService.calculateMaturity","Como INTERNAL_EVALUATOR/ORG_RESPONSIBLE, quiero recalcular la madurez global y por función/ subcategoría en cualquier momento, para ver el avance sin esperar a terminar toda la evaluación.",P1,Story,Completed,,Evaluaciones,
HU-EVAL-05 — Avanzar el estado de la evaluación,"Cada transición valida tanto el estado actual como qué rol puede dispararla — no sólo que el rol pueda llamar al endpoint. Implementado en: PATCH /api/evaluations/{id}/status, EvaluationService.ALLOWED_TRANSITIONS / assertRoleCanTransitionTo","Como ORG_RESPONSIBLE/INTERNAL_EVALUATOR (autoevaluación) o AUDITOR/PRISMA_ADMIN (auditoría), quiero avanzar el estado de una evaluación siguiendo el flujo del ciclo de vida.",P1,Story,Completed,,Evaluaciones,
HU-EVAL-06 — Rechazar transiciones de estado inválidas,Implementado en: EvaluationService.ALLOWED_TRANSITIONS (las claves ausentes del mapa son estados terminales sin transiciones admitidas),"Como sistema, no debo permitir revertir una evaluación a un estado anterior fuera del flujo definido (p.ej. de ARCHIVED a DRAFT con un PATCH directo).",P1,Story,Completed,,Evaluaciones,
"HU-EVAL-07 — Ver organización, evaluador y auditor asignado en la grilla","""Auditor asignado"" es quién está habilitado para auditar esa organización (no necesariamente quien ya la auditó — eso es la estampa de auditoría, ver HU-AUD-04). · Sólo se muestran para PRISMA_ADMIN: para el resto, acotado a su propia organización, sería información repetida en cada fila. Implementado en: columnas ""Evaluador""/""Auditor asignado"" en EvaluationsView.vue, EvaluationDto.createdByName/assignedAuditorNames","Como PRISMA_ADMIN, quiero ver en la grilla de evaluaciones a qué organización pertenece cada una, quién la evaluó y qué auditor(es) tiene asignados, sin entrar al detalle de cada una.",P3,Story,Completed,,Evaluaciones,
HU-EVAL-08 — Resultados de madurez colapsados por defecto,Implementado en: EvaluationDetailView.vue (expandedGroups),"Como cualquier rol con acceso a una evaluación, quiero que los resultados agrupados ""por función"" aparezcan colapsados por defecto, para no saturar la pantalla con el detalle de todos los controles apenas abro la evaluación.",P4,Story,Completed,,Evaluaciones,
HU-EVAL-09 — Nivel 0 se muestra como un resultado real,"Implementado en: comparaciones != null en vez de truthy checks, en EvaluationsView.vue, OrganizationDetailView.vue y los componentes de gráfico","Como cualquier rol, quiero que un nivel de madurez 0 (calculado) se distinga de ""todavía no se calculó"" — ambos no pueden verse igual (""—"" en ambos casos escondía un 0 real).",P4,Story,Completed,,Evaluaciones,
HU-EVAL-10 — Paginar los resultados de madurez,"Implementado en: EvaluationDetailView.vue (pageSizeOptions, paginatedGroups)","Como cualquier rol viendo una evaluación con muchos controles, quiero paginar los resultados por función y elegir cuántos ver por página, en vez de tener que hacer scroll por todo el catálogo.",P4,Story,Completed,,Evaluaciones,
HU-EVI-01 — Subir evidencia,"Implementado en: POST /api/evidence, EvidenceView.vue","Como ORG_RESPONSIBLE/INTERNAL_EVALUATOR, quiero subir un archivo de evidencia documental para respaldar un control, para que quede disponible durante la auditoría.",P2,Story,Completed,,Evidencias,
HU-EVI-02 — Indexación automática por IA,"Best-effort: si backend-ai está caído, la evidencia queda igual guardada en MinIO/Postgres, y el usuario puede reintentar la indexación más tarde. Implementado en: AiEvidenceClient.ingest, EvidenceService.upload","Como sistema, quiero indexar automáticamente el contenido de cada evidencia (embeddings + ChromaDB) al subirla, para que después se puedan buscar citas relevantes por control.",P2,Story,Completed,,Evidencias,
HU-EVI-03 — Reintentar la indexación,"Implementado en: POST /api/evidence/{id}/index, botón ""Analizar con IA"" en EvidenceView.vue","Como usuario, quiero reintentar la indexación IA de una evidencia si falló la primera vez, sin tener que volver a subir el archivo.",P2,Story,Completed,,Evidencias,
HU-EVI-04 — Eliminar evidencia,Implementado en: DELETE /api/evidence/{id},"Como ORG_RESPONSIBLE/INTERNAL_EVALUATOR, quiero eliminar una evidencia que subí por error.",P2,Story,Completed,,Evidencias,
HU-EVI-05 — Evidencia bloqueada durante y después de la auditoría,"Evaluation.isSelfAssessmentEditable() es la única fuente de verdad, compartida entre EvaluationService.saveResponse y todo EvidenceService. Implementado en: EvidenceService (upload/delete/reindex)","Como sistema, no debo permitir subir, eliminar ni reindexar evidencia mientras la evaluación está en auditoría o ya fue aprobada/archivada, para que el auditor revise siempre exactamente lo que se le entregó.",P2,Story,Completed,,Evidencias,
HU-EVI-06 — Buscar citas de evidencia por control (asistente de IA),"La búsqueda es semántica (embeddings), acotada a la evidencia de esa organización/evaluación. · Es sólo una guía de dónde mirar: la validación final la registra el auditor como Observación. Implementado en: POST /api/evidence/evaluation/{id}/control/{controlId}/citations, AiEvidenceClient.citations, AuditView.vue → ""Asistente de IA — Evidencias por control""","Como AUDITOR, quiero que el sistema busque automáticamente en la evidencia cargada los fragmentos que podrían respaldar un control puntual, mostrando el documento, la ubicación (página y sección) y el texto exacto, para no tener que leer cada archivo entero a mano.",P2,Story,Completed,,Evidencias,
HU-EVI-07 — Ir directo al documento en la página de la referencia,"El link ""Ver documento"" arma la URL firmada del archivo con el fragmento #page=N cuando la ubicación citada incluye un número de página. Implementado en: documentUrl() en AuditView.vue","Como AUDITOR, quiero poder abrir el documento de evidencia directamente en la página donde se encontró el fragmento citado, en vez de tener que buscarla manualmente dentro de un PDF largo.",P3,Story,Completed,,Evidencias,
HU-EVI-08 — Registrar una observación a partir de una cita,Implementado en: openObservationForCitation() en AuditView.vue,"Como AUDITOR, quiero poder registrar una observación de auditoría con un click a partir de una cita encontrada, con el contexto (control, documento, ubicación, fragmento) ya precargado, para no tener que volver a escribirlo.",P3,Story,Completed,,Evidencias,
HU-AUD-01 — Revisar una evaluación en auditoría,"Un AUDITOR sólo ve/audita las organizaciones que tiene explícitamente asignadas (auditedOrganizationIds) — no es un rol global. Implementado en: POST /api/audit/observations, AuditView.vue","Como AUDITOR asignado a esa organización, quiero revisar una evaluación en estado IN_AUDIT y registrar observaciones, no conformidades o recomendaciones por control.",P2,Story,Completed,,Auditoría,
HU-AUD-02 — Editar una observación,Implementado en: PUT /api/audit/observations/{id},"Como AUDITOR/PRISMA_ADMIN, quiero editar el control, tipo, descripción o estado de una observación ya creada.",P2,Story,Completed,,Auditoría,
HU-AUD-03 — Seguimiento del estado de una observación,Implementado en: botones de estado en AuditView.vue (updateObservationStatus),"Como AUDITOR, quiero marcar una observación como ""en progreso"" y después ""resuelta"", para hacer seguimiento de qué falta cerrar dentro de la propia auditoría.",P2,Story,Completed,,Auditoría,
HU-AUD-04 — Estampa del auditor que trabajó la auditoría,"Por observación: ""Registrada por <nombre>"". · Agregado: ""Auditoría realizada por <nombre(s)>"" — los autores reales (distinct) de las observaciones ya cargadas. Implementado en: AuditObservationDto.createdByName, banner en AuditView.vue","Como cualquier usuario que vea los resultados de una auditoría, quiero saber qué auditor(es) trabajaron en ella de hecho — no sólo quién está habilitado para hacerlo — tanto a nivel de cada observación como en general.",P2,Story,Completed,,Auditoría,
HU-AUD-05 — Aprobar o devolver una evaluación auditada,RETURNED vuelve la autoevaluación a editable (IN_PROGRESS) para que la organización corrija y la reenvíe. Implementado en: transición de estado IN_AUDIT → APPROVED|RETURNED,"Como AUDITOR/PRISMA_ADMIN, quiero, al terminar la revisión, aprobar la evaluación o devolverla a la organización para que corrija.",P2,Story,Completed,,Auditoría,
HU-MEJ-01 — Generar sugerencias automáticas a partir de las brechas,"Ordenadas por prioridad (nivel 1 primero: es bloqueante de todo lo demás en el modelo acumulativo). · Excluye controles que ya tienen un plan real creado. Implementado en: GET /api/improvement/{evaluationId}/suggestions, ImprovementPlanService.suggest, ImprovementView.vue","Como ORG_RESPONSIBLE, quiero generar automáticamente una lista de sugerencias de mejora a partir de los controles no conformes o por debajo del nivel objetivo, para no tener que revisar el catálogo entero a mano buscando qué falta.",P2,Story,Completed,,Mejora,
HU-MEJ-02 — Guía práctica automática (IA) para cerrar una brecha puntual,"Se pide on-demand, un control a la vez (nunca para toda la lista de sugerencias junta). · Los pasos están pensados para equipos con recursos limitados: herramientas o prácticas concretas, no generalidades. · Best-effort: si el modelo de IA no está disponible, se informa en vez de romper la pantalla de sugerencias. Implementado en: POST /api/improvement/suggestions/tips, VectorStore.suggest_remediation (backend-ai), botón ""¿Cómo puedo solucionar esto?"" en ImprovementView.vue","Como ORG_RESPONSIBLE, quiero pedir una guía práctica generada automáticamente (resumen + pasos concretos) para una brecha puntual, para saber cómo resolverla y no sólo qué dice el control (que ya lo sé, es la brecha que tengo).",P2,Story,Completed,,Mejora,
HU-MEJ-03 — Editar y seleccionar sugerencias antes de crearlas,Implementado en: modal de sugerencias en ImprovementView.vue (acceptSuggestions),"Como ORG_RESPONSIBLE, quiero poder editar el texto, asignar responsable/prioridad/fecha y elegir cuáles sugerencias convertir en acciones reales del plan, antes de guardarlas.",P2,Story,Completed,,Mejora,
HU-MEJ-04 — Crear una acción de mejora manualmente,Implementado en: POST /api/improvement,"Como ORG_RESPONSIBLE, quiero crear una acción de mejora manualmente (sin partir de una sugerencia automática), para registrar iniciativas que no salen directamente de una brecha del catálogo.",P2,Story,Completed,,Mejora,
HU-MEJ-05 — Seguimiento del plan de mejora,"Las acciones vencidas se recalculan al listar (no es un campo estático). Implementado en: ImprovementPlanService.listByEvaluation (marca overdue), ImprovementView.vue","Como ORG_RESPONSIBLE, quiero ver cuántas acciones están pendientes, en progreso, completadas o vencidas, y cambiar el estado de cada una.",P2,Story,Completed,,Mejora,
HU-REP-01 — Descargar reporte en PDF,"Implementado en: GET /api/reports/{evaluationId}/pdf, ReportsView.vue","Como usuario con acceso a una evaluación aprobada, quiero descargar un reporte PDF con los resultados de madurez, para compartirlo fuera de la plataforma.",P2,Story,Completed,,Reportes,
HU-REP-02 — Descargar reporte en Excel,Implementado en: GET /api/reports/{evaluationId}/excel,"Como usuario con acceso a una evaluación aprobada, quiero descargar un reporte Excel con el detalle control por control, para procesarlo o auditarlo con otras herramientas.",P2,Story,Completed,,Reportes,
HU-DASH-01 — Panel resumen,"Implementado en: GET /api/dashboard/stats, DashboardView.vue","Como usuario autenticado de cualquier rol, quiero ver un panel con el total de evaluaciones, organizaciones activas, madurez promedio y mejoras pendientes acotado a lo que me corresponde ver, para tener un pantallazo general sin entrar a cada sección.",P3,Story,Completed,,Dashboard,
HU-DASH-02 — Madurez por función y últimas evaluaciones,"Implementado en: MaturityBarChart.vue, tabla de últimas evaluaciones en DashboardView.vue","Como usuario autenticado, quiero ver un gráfico de madurez por función y una tabla con las últimas evaluaciones, para identificar rápido dónde están las brechas más grandes.",P3,Story,Completed,,Dashboard,
HU-UX-01 — Notificaciones de confirmación,"Aparece abajo a la derecha (no arriba, donde competía visualmente con el menú de usuario). Implementado en: NotificationToast.vue, stores/notification.ts","Como usuario, quiero recibir una notificación (toast) confirmando o informando el resultado de mis acciones (creado, error, advertencia), sin que tape controles importantes de la pantalla.",P4,Story,Completed,,UX,
HU-UX-02 — Tooltips en acciones de sólo ícono,"Cubre las acciones de las tablas, las flechas de ""volver"", el editor de árbol del catálogo, el toggle de colapsar el menú lateral (y sus ítems, que al colapsar quedan sin ninguna etiqueta visible), y los botones de cerrar de modales/alertas. Implementado en: atributos title nativos en los componentes correspondientes (ver ""Endurecimientos recientes""/changelog para el listado completo de archivos)","Como usuario, quiero ver el nombre de una acción representada sólo por un ícono (editar, eliminar, ver, volver, etc.) al pasar el mouse por encima, para no tener que adivinar qué hace cada botón.",P4,Story,Completed,,UX,
HU-UX-03 — Aislamiento multi-tenant transparente,"Implementado en: CurrentUserService.assertOrganizationAccess, aplicado explícitamente en cada Service que expone datos por organización","Como usuario de un rol acotado a organización, quiero que las listas (organizaciones, usuarios, evaluaciones) me muestren automáticamente sólo lo que me corresponde ver, sin tener que filtrar yo mismo ni arriesgarme a ver datos de otra organización.",P1,Story,Completed,,UX,
HU-UX-04 — Cambiar entre tema claro y oscuro,"El toggle vive en el menú del usuario (arriba a la derecha, junto a ""Mi Cuenta""/""Cerrar Sesión""), no en una pantalla de configuración aparte — es la elección que se cambia con más frecuencia de todo el menú. · Persiste en localStorage (por navegador/dispositivo, no sincroniza entre dispositivos ni se guarda en el backend) y se aplica antes del primer render para no mostrar un parpadeo de tema incorrecto al cargar la página. · Los gráficos (Chart.js, dibujados en <canvas>, no siguen el CSS de la página) cambian de paleta junto con el resto de la UI — sin esto, sus etiquetas quedaban con el gris oscuro por defecto de Chart.js, ilegible sobre una tarjeta en modo oscuro. Implementado en: stores/theme.ts, AppHeader.vue, main.css (@custom-variant dark)","Como usuario, quiero poder elegir entre tema claro y oscuro, y que la app recuerde mi elección en este dispositivo, para poder trabajar cómodo según la luz del ambiente o mi preferencia.",P4,Story,Completed,,UX,
HU-CFG-01 — Configurar el SMTP de Keycloak,"Keycloak enmascara el password guardado () al leerlo: hay que volver a ingresarlo en cada actualización, no se puede ""conservar"" el anterior. Implementado en: PUT /api/admin/email-settings, EmailSettingsPanel.vue. Ver docs/Notificaciones-Email.md","Como PRISMA_ADMIN, quiero configurar el servidor SMTP del realm, para que ""¿Olvidaste tu contraseña?"" en el login envíe el correo correspondiente.",P3,Story,Completed,,Configuración,
HU-CFG-02 — Administrar el catálogo desde Configuración,Implementado en: SettingsView.vue,"Como PRISMA_ADMIN, quiero llegar a la importación/edición del catálogo desde la sección de Configuración, junto con el resto de la administración de la plataforma.",P3,Story,Completed,,Configuración,
